oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190020526;233;113;1;6;204;211;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;25;17;16;113;33
;190020527;232;134;0;9;207;216;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;17;7;18;134;31
;190020528;235;135;1;5;211;217;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;16;12;14;135;34
;190020529;235;121;0;5;213;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;16;20;24;121;32
;190020530;205;121;4;8;180;192;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;16;14;13;121;16
;190030201;226;80;2;3;208;213;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;39;18;14;80;57
;190030202;231;82;1;8;205;214;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;32;12;19;82;60
;190030203;231;78;2;2;211;215;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;44;12;24;78;53
;190030204;233;81;1;1;212;214;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;46;12;17;81;56
;190030205;233;82;2;3;206;211;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;35;17;14;82;58
;190030206;230;95;0;4;205;209;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;45;12;12;95;41
;190030207;227;77;1;0;207;208;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;42;16;15;77;57
;190030208;232;72;2;1;209;212;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;46;17;19;72;55
;190030209;84;38;1;5;74;80;20;COL. AMERICAN SCHOOL                    ;AGUA DE LA VIDA                         ;10;4;3;38;19
;190030301;230;67;1;4;196;201;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;33;14;11;67;71
;190030302;230;78;2;5;206;213;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;37;13;15;78;63
;190030303;233;75;2;6;202;210;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;43;16;15;75;53
;190030304;233;89;0;11;199;210;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;34;14;12;89;50
;190030305;236;73;0;7;210;217;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;38;7;33;73;59
;190030306;232;81;0;5;207;212;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;35;11;16;81;64
;190030307;232;81;0;9;199;208;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;37;4;19;81;58
;190030308;234;92;1;4;213;218;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;38;14;14;92;55
;190030309;231;71;3;7;195;205;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;34;13;18;71;59
;190030310;226;68;0;6;197;203;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;38;16;11;68;64
;190030311;235;73;0;7;203;210;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;40;12;12;73;66
;190030312;232;77;2;4;211;217;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;35;15;21;77;63
;190030313;234;52;2;3;205;210;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;53;10;24;52;66
;190030314;113;36;0;1;98;99;15;ESC NATALIA PALACIOS                    ;VILLA PABON                             ;20;4;9;36;29
;190030401;230;70;0;2;205;207;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;42;7;18;70;68
;190030402;236;86;1;9;199;209;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;28;12;17;86;56
;190030403;237;90;0;6;202;208;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;32;17;12;90;51
;190030404;234;84;0;6;199;205;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;37;11;13;84;54
;190030405;234;73;3;8;188;199;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;28;18;14;73;55
;190030406;233;87;3;6;195;204;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;34;10;12;87;52
;190030407;234;82;0;10;193;203;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;31;13;8;82;59
;190030408;232;64;2;6;199;207;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;38;7;14;64;76
;190030409;106;45;0;1;93;94;123;COL. NACIONAL AYACUCHO                  ;ZONA CENTRAL                            ;18;4;5;45;21
